name,Idag Procent,Idag Plus/Minus,Seneste,Køb,Sælg
"ScandinavianTobaccoGroupA/SMDKK,MDKK..","0,56%","0,70","DKK125,70125,60125,80126,30125,001,1",1,1
"ScandinavianMedicalSolutionsA/SMDKK,MDKK..","1,31%","0,15","DKK11,6011,4011,6011,8011,250,9",0,9
cBrainA/S,"0,73%","1,00","DKK137,20137,20138,00138,80136,800,8","MDKK0,8",MDKK13.51.29
SkjernBankA/SMDKK..,"1,18%","1,50","DKK125,50124,00125,50126,00124,000,6","MDKK0,6",1
JobindexA/S,"5,41%",100,"DKK1.7501.7201.7501.7701.7000,6","MDKK0,6",MDKK13.49.04
BankNordikP/F,"1,83%","2,50","DKK134,00133,50134,50144,00133,500,6","MDKK0,6",MDKK13.50.32
CarlsbergAA/SMDKK..,"0,70%",10,"DKK1.4401.4401.4601.4501.4350,6","MDKK0,6",1
VestjyskBankA/SMDKK..,"0,29%","0,01","DKK3,403,403,433,483,280,6","MDKK0,6",1
BioPortoA/S,"1,98%","0,032","DKK1,5881,5601,6141,6301,5520,6","MDKK0,6",MDKK13.51.36
BooztAB,"1,65%","1,25","DKK76,9076,7076,9077,6076,550,6","MDKK0,6",MDKK13.50.05
"PARKENSport&EntertainmentA/SDKK,,,,,,MDKK,MDKK..","3,82%","3,70",1,0,0
PrimeOfficeMDKK..,"A/S0,00%0","DKK2202202282242140,4","MDKK0,4",1,3
NordfynsBankA/SMDKK..,"0,81%",2,"DKK2462462502502460,4","MDKK0,4",1
JeudanA/S,"1,92%",5,"DKK2662632662662610,4","MDKK0,4",MDKK13.51.13
UIEPlc,"0,51%","1,00","DKK197,00197,00197,50199,00197,000,3","MDKK0,3",MDKK13.42.15
BrainA/S,"3,00%","0,024","DKK0,7760,7760,8000,8500,7760,3","MDKK0,3",MDKK13.51.43
Brdr.HartmannA/S,"0,34%",1,"DKK2942952972962930,3","MDKK0,3",MDKK13.29.29
ColumbusA/S,"1,15%","0,08","DKK6,866,846,866,926,840,3","MDKK0,3",MDKK12.11.11
KøbenhavnsLufthavneMDKK..,"A/S0,00%0","DKK5.8605.8405.9005.9005.8600,3","MDKK0,3",1,3
RTXA/S,"1,67%","2,00","DKK117,50117,00118,00121,00117,500,2","MDKK0,2",MDKK13.48.26
AGFA/SBMDKK..,"4,31%","0,028","DKK0,6220,6240,6340,6560,6020,2","MDKK0,2",1
TivoliA/S,"0,25%",2,"DKK7947927947967940,2","MDKK0,2",MDKK13.44.38
"EnnogieSolarGroupA/SMDKK,MDKK..","1,57%","0,40","DKK25,9025,7025,9026,4025,200,2",0,2
TriforkHoldingAGMDKK..,"0,79%","1,20","DKK149,80149,40150,60152,00149,400,2","MDKK0,2",1
SKAKOA/S,"1,97%","1,50","DKK74,5075,0076,0076,0074,500,2","MDKK0,2",MDKK13.35.25
Totalbanken,"A/S0,00%0","DKK1541541551571460,2","MDKK0,2",MDKK13.36.44,
GreenMobilityA/S,"2,17%","1,10","DKK49,5048,9049,5050,0048,500,2","MDKK0,2",MDKK13.21.51
"EgnsINVESTEjd.,TysklandA/SMDKK,MDKK..","1,75%",4,"DKK2242242282242240,2",0,2
AtlanticPetroleumP/FMDKK..,"8,10%","0,440","DKK4,9904,7705,205,634,9900,1","MDKK0,1",1
TCMGroupA/SMDKK..,"2,72%","2,00","DKK71,4071,4072,4073,0071,400,1","MDKK0,1",1
"MTHøjgaardHoldingA/SMDKK,MDKK..","0,36%","0,50","DKK140,00138,50139,50140,00138,500,1",0,1
ShapeRoboticsA/SMDKK..,"1,53%","0,40","DKK25,8025,8026,1026,6025,700,1","MDKK0,1",1
LollandsBankA/SMDKK..,"2,63%",15,"DKK5555555655605500,1","MDKK0,1",1
ReMatchHoldingA/SMDKK..,"19,77%","1,38","DKK5,605,906,086,785,600,1","MDKK0,1",1
PenneoA/S,"1,18%","0,10","DKK8,408,408,508,668,400,1","MDKK0,1",MDKK13.40.00
MapsPeopleA/S,"7,18%","0,28","DKK3,623,663,943,983,620,1","MDKK0,1",MDKK12.29.23
WirtekA/S,"3,46%","0,45","DKK12,5512,5012,8512,9512,550,1","MDKK0,1",MDKK12.36.25
AquaporinA/S,"1,81%","1,40","DKK78,6078,0079,0078,6077,400,1","MDKK0,1",MDKK13.42.21
Össurhf.,"2,27%","0,70","DKK31,5530,9031,5031,7530,500,1","MDKK0,1",MDKK13.49.57
DancannPharma,"0,99%","0,005","DKK0,5000,4990,5000,5250,4890,1","MDKK0,1",MDKK13.50.33
DigizuiteA/S,"2,99%","0,20","DKK6,506,406,506,606,500,1","MDKK0,1",MDKK13.32.33
CSMEDICA,"1,18%","0,08","DKK6,706,686,706,786,360,1","MDKK0,1",MDKK13.49.47
Curasight,"3,49%","0,65","DKK18,0017,6018,0019,0017,300,1","MDKK0,1",MDKK13.47.37
